NAME                              READY   STATUS    RESTARTS   AGE
orders-66fdd7bd8c-xrr7g           1/1     Terminating         0          10m
ui-7bc6d569b-6mklk                1/1     Terminating         0          10m
users-postgres-0                  1/1     Terminating         0          10m
registry-latest-ffc9b4bd4-f2hsc   1/1     Terminating         0          10m
users-596646bb9c-lrqt4            1/1     Terminating         2          10m
api-latest-58d9d65655-hwwkn       1/1     Terminating         0          10m
proxy-latest-6b8fb9ff67-lmllp     1/1     Terminating         0          10m
store-latest-fd59d8888-4kw9r      1/1     Terminating         0          10m
cart-598b6cdc77-nmsdw             1/1     Terminating         0          10m
products-mongo-6cc7b978c8-ld6ft   1/1     Terminating         0          10m
orders-mongodb-57778486fd-wblh6   1/1     Terminating         0          10m
supply-78968f4c84-8jklz           1/1     Terminating         0          10m
auth-latest-6d7cf54788-fdts7      1/1     Terminating         0          10m
cart-mongo-8c74d75d4-8kmbj        1/1     Terminating         0          10m
events-latest-5fb699c7d4-wgbvs    1/1     Terminating         0          10m
purchase-5d97fb9b8c-hkkhs         1/1     Terminating         0          10m
products-6d56579fc-h2p2c          1/1     Terminating         0          10m
broker-latest-fd877b768-vk5ms     1/1     Terminating         0          10m
registry-latest-ffc9b4bd4-f2hsc   1/1     Terminating         0          10m
orders-mongodb-57778486fd-wblh6   1/1     Terminating         0          10m
auth-latest-6d7cf54788-fdts7      1/1     Terminating         0          10m
products-mongo-6cc7b978c8-ld6ft   1/1     Terminating         0          10m
supply-78968f4c84-8jklz           1/1     Terminating         0          10m
events-latest-5fb699c7d4-wgbvs    1/1     Terminating         0          10m
users-596646bb9c-lrqt4            1/1     Terminating         2          10m
users-postgres-0                  1/1     Terminating         0          10m
network-latest-8db575747-f65rz    1/1     Terminating         0          10m
orders-66fdd7bd8c-xrr7g           1/1     Terminating         0          10m
runtime-latest-6bc67fd44b-zlzqf   1/1     Terminating         0          10m
api-latest-58d9d65655-hwwkn       1/1     Terminating         0          10m
proxy-latest-6b8fb9ff67-lmllp     1/1     Terminating         0          10m
